ax = -0.534, ay = 0.082, az = 0.803, brake = False
ax = -0.531, ay = 0.081, az = 0.807, brake = False
ax = -0.531, ay = 0.081, az = 0.807, brake = False
ax = -0.526, ay = 0.079, az = 0.808, brake = False
ax = -0.525, ay = 0.075, az = 0.815, brake = False
ax = -0.525, ay = 0.075, az = 0.815, brake = False
ax = -0.523, ay = 0.067, az = 0.816, brake = False
ax = -0.523, ay = 0.067, az = 0.816, brake = False
ax = -0.526, ay = 0.059, az = 0.813, brake = False
ax = -0.529, ay = 0.055, az = 0.812, brake = False
ax = -0.529, ay = 0.055, az = 0.812, brake = False
ax = -0.53, ay = 0.049, az = 0.808, brake = False
ax = -0.53, ay = 0.049, az = 0.808, brake = False
ax = -0.528, ay = 0.048, az = 0.806, brake = False
ax = -0.525, ay = 0.052, az = 0.808, brake = False
ax = -0.525, ay = 0.052, az = 0.808, brake = False
ax = -0.521, ay = 0.053, az = 0.81, brake = False
ax = -0.521, ay = 0.053, az = 0.81, brake = False
ax = -0.522, ay = 0.049, az = 0.815, brake = False
ax = -0.522, ay = 0.049, az = 0.815, brake = False
ax = -0.523, ay = 0.049, az = 0.818, brake = False
ax = -0.522, ay = 0.048, az = 0.823, brake = False
ax = -0.522, ay = 0.048, az = 0.823, brake = False
ax = -0.523, ay = 0.049, az = 0.826, brake = False
ax = -0.523, ay = 0.049, az = 0.826, brake = False
ax = -0.526, ay = 0.053, az = 0.822, brake = False
ax = -0.526, ay = 0.057, az = 0.821, brake = False
ax = -0.526, ay = 0.057, az = 0.821, brake = False
ax = -0.524, ay = 0.055, az = 0.818, brake = False
ax = -0.524, ay = 0.055, az = 0.818, brake = False
ax = -0.523, ay = 0.049, az = 0.816, brake = False
ax = -0.522, ay = 0.044, az = 0.813, brake = False
ax = -0.522, ay = 0.044, az = 0.813, brake = False
ax = -0.522, ay = 0.04, az = 0.815, brake = False
ax = -0.522, ay = 0.04, az = 0.815, brake = False
ax = -0.522, ay = 0.041, az = 0.814, brake = False
ax = -0.526, ay = 0.044, az = 0.814, brake = False
ax = -0.526, ay = 0.044, az = 0.814, brake = False
ax = -0.527, ay = 0.047, az = 0.818, brake = False
ax = -0.527, ay = 0.047, az = 0.818, brake = False
ax = -0.526, ay = 0.051, az = 0.819, brake = False
ax = -0.526, ay = 0.051, az = 0.819, brake = False
ax = -0.521, ay = 0.053, az = 0.819, brake = False
ax = -0.521, ay = 0.052, az = 0.82, brake = False
ax = -0.521, ay = 0.052, az = 0.82, brake = False
ax = -0.521, ay = 0.049, az = 0.818, brake = False
ax = -0.521, ay = 0.049, az = 0.818, brake = False
ax = -0.525, ay = 0.038, az = 0.822, brake = False
ax = -0.526, ay = 0.029, az = 0.824, brake = False
ax = -0.526, ay = 0.029, az = 0.824, brake = False
ax = -0.526, ay = 0.023, az = 0.816, brake = False
ax = -0.526, ay = 0.023, az = 0.816, brake = False
ax = -0.524, ay = 0.02, az = 0.812, brake = False
ax = -0.521, ay = 0.02, az = 0.811, brake = False
ax = -0.521, ay = 0.02, az = 0.811, brake = False
ax = -0.52, ay = 0.021, az = 0.813, brake = False
ax = -0.52, ay = 0.021, az = 0.813, brake = False
ax = -0.522, ay = 0.022, az = 0.813, brake = False
ax = -0.522, ay = 0.02, az = 0.811, brake = False
ax = -0.522, ay = 0.02, az = 0.811, brake = False
ax = -0.523, ay = 0.014, az = 0.815, brake = False
ax = -0.523, ay = 0.014, az = 0.815, brake = False
ax = -0.524, ay = 0.009, az = 0.813, brake = False
ax = -0.524, ay = 0.009, az = 0.813, brake = False
ax = -0.522, ay = 0.005, az = 0.815, brake = False
ax = -0.52, ay = -0.003, az = 0.82, brake = False
ax = -0.52, ay = -0.003, az = 0.82, brake = False
ax = -0.521, ay = -0.007, az = 0.821, brake = False
ax = -0.521, ay = -0.007, az = 0.821, brake = False
ax = -0.525, ay = -0.005, az = 0.826, brake = False
ax = -0.525, ay = -0.006, az = 0.826, brake = False
ax = -0.525, ay = -0.006, az = 0.826, brake = False
ax = -0.528, ay = -0.003, az = 0.822, brake = False
ax = -0.528, ay = -0.003, az = 0.822, brake = False
ax = -0.528, ay = -0.003, az = 0.814, brake = False
ax = -0.526, ay = -0.0, az = 0.81, brake = False
ax = -0.526, ay = -0.0, az = 0.81, brake = False
ax = -0.525, ay = 0.006, az = 0.806, brake = False
ax = -0.525, ay = 0.006, az = 0.806, brake = False
ax = -0.525, ay = 0.009, az = 0.808, brake = False
ax = -0.523, ay = 0.011, az = 0.809, brake = False
ax = -0.523, ay = 0.011, az = 0.809, brake = False
ax = -0.523, ay = 0.01, az = 0.814, brake = False
ax = -0.523, ay = 0.01, az = 0.814, brake = False
ax = -0.526, ay = 0.011, az = 0.82, brake = False
ax = -0.524, ay = 0.016, az = 0.822, brake = False
ax = -0.524, ay = 0.016, az = 0.822, brake = False
ax = -0.518, ay = 0.02, az = 0.821, brake = False
ax = -0.518, ay = 0.02, az = 0.821, brake = False
ax = -0.516, ay = 0.024, az = 0.823, brake = False
ax = -0.516, ay = 0.032, az = 0.825, brake = False
ax = -0.516, ay = 0.032, az = 0.825, brake = False
ax = -0.521, ay = 0.046, az = 0.822, brake = False
ax = -0.521, ay = 0.046, az = 0.822, brake = False
ax = -0.524, ay = 0.057, az = 0.818, brake = False
ax = -0.525, ay = 0.065, az = 0.816, brake = False
ax = -0.525, ay = 0.065, az = 0.816, brake = False
ax = -0.524, ay = 0.073, az = 0.811, brake = False
ax = -0.524, ay = 0.073, az = 0.811, brake = False
ax = -0.528, ay = 0.072, az = 0.809, brake = False
ax = -0.531, ay = 0.068, az = 0.809, brake = False
ax = -0.531, ay = 0.068, az = 0.809, brake = False
ax = -0.531, ay = 0.064, az = 0.808, brake = False
ax = -0.531, ay = 0.064, az = 0.808, brake = False
ax = -0.528, ay = 0.064, az = 0.82, brake = False
ax = -0.526, ay = 0.064, az = 0.821, brake = False
ax = -0.526, ay = 0.064, az = 0.821, brake = False
ax = -0.527, ay = 0.062, az = 0.823, brake = False
ax = -0.527, ay = 0.062, az = 0.823, brake = False
ax = -0.527, ay = 0.059, az = 0.826, brake = False
ax = -0.529, ay = 0.052, az = 0.824, brake = False
ax = -0.529, ay = 0.052, az = 0.824, brake = False
ax = -0.529, ay = 0.042, az = 0.819, brake = False
ax = -0.529, ay = 0.042, az = 0.819, brake = False
ax = -0.53, ay = 0.037, az = 0.816, brake = False
ax = -0.534, ay = 0.031, az = 0.809, brake = False
ax = -0.534, ay = 0.031, az = 0.809, brake = False
ax = -0.533, ay = 0.027, az = 0.807, brake = False
ax = -0.532, ay = 0.022, az = 0.812, brake = False
ax = -0.532, ay = 0.022, az = 0.812, brake = False
ax = -0.53, ay = 0.024, az = 0.812, brake = False
ax = -0.53, ay = 0.024, az = 0.812, brake = False
ax = -0.529, ay = 0.029, az = 0.812, brake = False
ax = -0.526, ay = 0.034, az = 0.817, brake = False
ax = -0.526, ay = 0.034, az = 0.817, brake = False
ax = -0.522, ay = 0.042, az = 0.815, brake = False
ax = -0.522, ay = 0.042, az = 0.815, brake = False
ax = -0.519, ay = 0.046, az = 0.816, brake = False
ax = -0.516, ay = 0.05, az = 0.818, brake = False
ax = -0.516, ay = 0.05, az = 0.818, brake = False
ax = -0.514, ay = 0.053, az = 0.815, brake = False
ax = -0.514, ay = 0.053, az = 0.815, brake = False
ax = -0.517, ay = 0.057, az = 0.821, brake = False
ax = -0.522, ay = 0.06, az = 0.821, brake = False
ax = -0.522, ay = 0.06, az = 0.821, brake = False
ax = -0.524, ay = 0.065, az = 0.819, brake = False
ax = -0.524, ay = 0.065, az = 0.819, brake = False
ax = -0.526, ay = 0.068, az = 0.812, brake = False
ax = -0.527, ay = 0.069, az = 0.806, brake = False
ax = -0.527, ay = 0.069, az = 0.806, brake = False
ax = -0.527, ay = 0.069, az = 0.807, brake = False
