ax = -0.518, ay = -0.06, az = 0.832, diff = 0.04004761904761911 brake = False
ax = -0.503, ay = -0.072, az = 0.833, diff = 0.05504761904761912 brake = False
ax = -0.503, ay = -0.072, az = 0.833, diff = 0.05504761904761912 brake = False
ax = -0.488, ay = -0.077, az = 0.825, diff = 0.07004761904761914 brake = False
ax = -0.488, ay = -0.077, az = 0.825, diff = 0.07004761904761914 brake = False
ax = -0.484, ay = -0.077, az = 0.821, diff = 0.07404761904761914 brake = False
ax = -0.485, ay = -0.078, az = 0.823, diff = 0.07304761904761914 brake = False
ax = -0.485, ay = -0.078, az = 0.823, diff = 0.07304761904761914 brake = False
ax = -0.48, ay = -0.073, az = 0.817, diff = 0.07804761904761914 brake = False
ax = -0.48, ay = -0.073, az = 0.817, diff = 0.07804761904761914 brake = False
ax = -0.476, ay = -0.06, az = 0.812, diff = 0.08204761904761915 brake = False
ax = -0.479, ay = -0.048, az = 0.812, diff = 0.07904761904761914 brake = False
ax = -0.479, ay = -0.048, az = 0.812, diff = 0.07904761904761914 brake = False
ax = -0.487, ay = -0.038, az = 0.801, diff = 0.07104761904761914 brake = False
ax = -0.487, ay = -0.038, az = 0.801, diff = 0.07104761904761914 brake = False
ax = -0.486, ay = -0.03, az = 0.803, diff = 0.07204761904761914 brake = False
ax = -0.486, ay = -0.026, az = 0.795, diff = 0.07204761904761914 brake = False
ax = -0.486, ay = -0.026, az = 0.795, diff = 0.004428571428571559 brake = False
ax = -0.509, ay = -0.017, az = 0.739, diff = -0.01857142857142846 brake = False
ax = -0.509, ay = -0.017, az = 0.739, diff = -0.01857142857142846 brake = False
ax = -0.543, ay = -0.009, az = 0.783, diff = -0.05257142857142849 brake = False
ax = -0.562, ay = -0.023, az = 0.828, diff = -0.07157142857142851 brake = False
ax = -0.562, ay = -0.023, az = 0.828, diff = -0.07157142857142851 brake = False
ax = -0.527, ay = -0.026, az = 0.826, diff = -0.03657142857142848 brake = False
ax = -0.527, ay = -0.026, az = 0.826, diff = -0.03657142857142848 brake = False
ax = -0.524, ay = -0.014, az = 0.86, diff = -0.033571428571428474 brake = False
ax = -0.515, ay = -0.011, az = 0.857, diff = -0.024571428571428466 brake = False
ax = -0.515, ay = -0.011, az = 0.857, diff = -0.024571428571428466 brake = False
ax = -0.522, ay = -0.013, az = 0.839, diff = -0.03157142857142847 brake = False
ax = -0.522, ay = -0.013, az = 0.839, diff = -0.03157142857142847 brake = False
ax = -0.526, ay = -0.013, az = 0.831, diff = -0.035571428571428476 brake = False
ax = -0.54, ay = -0.005, az = 0.826, diff = -0.04957142857142849 brake = False
ax = -0.54, ay = -0.005, az = 0.826, diff = -0.04957142857142849 brake = False
ax = -0.551, ay = -0.001, az = 0.815, diff = -0.0605714285714285 brake = False
ax = -0.551, ay = -0.001, az = 0.815, diff = -0.0605714285714285 brake = False
ax = -0.56, ay = -0.007, az = 0.798, diff = -0.0695714285714285 brake = False
ax = -0.537, ay = -0.014, az = 0.841, diff = -0.046571428571428486 brake = False
ax = -0.537, ay = -0.014, az = 0.841, diff = -0.046571428571428486 brake = False
ax = -0.503, ay = -0.011, az = 0.869, diff = 0.029476190476190545 brake = False
ax = -0.503, ay = -0.011, az = 0.869, diff = 0.029476190476190545 brake = False
ax = -0.503, ay = -0.02, az = 0.842, diff = 0.029476190476190545 brake = False
ax = -0.515, ay = -0.044, az = 0.865, diff = 0.017476190476190534 brake = False
ax = -0.515, ay = -0.044, az = 0.865, diff = 0.017476190476190534 brake = False
ax = -0.526, ay = -0.04, az = 0.872, diff = 0.006476190476190524 brake = False
ax = -0.526, ay = -0.04, az = 0.872, diff = 0.006476190476190524 brake = False
ax = -0.526, ay = -0.036, az = 0.843, diff = 0.006476190476190524 brake = False
ax = -0.524, ay = -0.046, az = 0.82, diff = 0.008476190476190526 brake = False
ax = -0.524, ay = -0.046, az = 0.82, diff = 0.008476190476190526 brake = False
ax = -0.523, ay = -0.062, az = 0.797, diff = 0.009476190476190527 brake = False
ax = -0.523, ay = -0.062, az = 0.797, diff = 0.009476190476190527 brake = False
ax = -0.524, ay = -0.058, az = 0.784, diff = 0.008476190476190526 brake = False
ax = -0.532, ay = -0.055, az = 0.778, diff = 0.0004761904761905189 brake = False
ax = -0.532, ay = -0.055, az = 0.778, diff = 0.0004761904761905189 brake = False
ax = -0.53, ay = -0.06, az = 0.799, diff = 0.0024761904761905207 brake = False
ax = -0.53, ay = -0.06, az = 0.799, diff = 0.0024761904761905207 brake = False
ax = -0.536, ay = -0.048, az = 0.812, diff = -0.0035238095238094846 brake = False
ax = -0.542, ay = -0.029, az = 0.822, diff = -0.00952380952380949 brake = False
ax = -0.542, ay = -0.029, az = 0.822, diff = -0.00952380952380949 brake = False
ax = -0.548, ay = -0.016, az = 0.83, diff = -0.015523809523809495 brake = False
ax = -0.548, ay = -0.016, az = 0.83, diff = -0.02076190476190487 brake = False
ax = -0.545, ay = 0.004, az = 0.825, diff = -0.017761904761904868 brake = False
ax = -0.547, ay = 0.013, az = 0.816, diff = -0.01976190476190487 brake = False
ax = -0.547, ay = 0.013, az = 0.816, diff = -0.01976190476190487 brake = False
ax = -0.559, ay = 0.032, az = 0.808, diff = -0.03176190476190488 brake = False
ax = -0.559, ay = 0.032, az = 0.808, diff = -0.03176190476190488 brake = False
ax = -0.571, ay = 0.038, az = 0.805, diff = -0.04376190476190478 brake = False
ax = -0.579, ay = 0.037, az = 0.798, diff = -0.05176190476190479 brake = False
ax = -0.579, ay = 0.037, az = 0.798, diff = -0.05176190476190479 brake = False
ax = -0.57, ay = 0.049, az = 0.792, diff = -0.04276190476190478 brake = False
ax = -0.57, ay = 0.049, az = 0.792, diff = -0.04276190476190478 brake = False
ax = -0.558, ay = 0.046, az = 0.788, diff = -0.03076190476190488 brake = False
ax = -0.554, ay = 0.03, az = 0.782, diff = -0.026761904761904876 brake = False
ax = -0.554, ay = 0.03, az = 0.782, diff = -0.026761904761904876 brake = False
ax = -0.56, ay = 0.022, az = 0.785, diff = -0.03276190476190488 brake = False
ax = -0.56, ay = 0.022, az = 0.785, diff = -0.03276190476190488 brake = False
ax = -0.563, ay = 0.028, az = 0.793, diff = -0.03576190476190477 brake = False
ax = -0.567, ay = 0.044, az = 0.801, diff = -0.039761904761904776 brake = False
ax = -0.567, ay = 0.044, az = 0.801, diff = -0.039761904761904776 brake = False
