dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 22, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 23, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 24, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 25, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 26, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 27, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 28, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.1466666666663627, dy = 10.534901960784111,  s_cnt = 29, l_cnt = 0, r_cnt = 0, direction = straight
dx = -14.106666666666342, dy = 5.934901960784089,  s_cnt = 30, l_cnt = 0, r_cnt = 0, direction = straight
